Country,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Temperature,Humidity,WindSpeed,Date,Station_ID,Status,Year,Month,Month_Name,Quarter,High_AQI_Flag,Pollution_Load
USA,Chicago,178.16,284.2,67.96,22.84,10.43,70.26,217.0,28.56,57.29,6.23,2024-02-01,6155,Very Unhealthy,2024,2,February,1,1,0.5498635197429896
China,Shenzhen,199.3,293.96,114.16,93.33125000000001,8.6,39.05,215.0,30.25,52.55,5.58,2024-02-02,9179,Very Unhealthy,2024,2,February,1,1,0.6870064523310316
Germany,Hamburg,90.53,115.06,58.7,31.83,6.58,91.24,103.0,34.5,77.59,4.34,2024-02-03,8517,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.405066957840338
China,Shanghai,157.36,282.36,79.68,39.15,10.48,85.26,220.0,32.38,60.96,5.56,2024-02-04,3287,Very Unhealthy,2024,2,February,1,1,0.5972077292840899
China,Shenzhen,161.27,203.5,121.16,48.72,11.22,90.34,192.0,33.46,58.79,6.65,2024-02-05,9830,Unhealthy,2024,2,February,1,1,0.6429469730377028
Japan,Kyoto,124.85,197.15,65.45,27.13,4.96,84.88,143.0,37.26,80.83,7.25,2024-02-06,8019,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.43742339880654324
USA,Los Angeles,119.39,147.39,68.62,33.02,8.75,47.57,128.0,21.4,58.57,6.83,2024-02-07,6930,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.42101296065641414
China,Beijing,78.89,98.65,51.32,10.18,5.47,76.09,74.0,24.23,69.64,3.1,2024-02-08,9348,Moderate,2024,2,February,1,0,0.31097814117503314
Germany,Berlin,84.08,140.1,48.7,22.67,6.25,64.66,101.0,27.85,44.95,5.96,2024-02-09,1771,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.3468236441123786
Vietnam,Hanoi,136.14,224.3,80.55,66.01,5.78,49.32,154.0,33.52,56.98,6.45,2024-02-10,3621,Unhealthy,2024,2,February,1,1,0.5082302599805821
Germany,Hamburg,124.88,222.49,70.13,43.93,7.71,50.67,155.0,45.0,49.65,7.74,2024-02-11,2040,Unhealthy,2024,2,February,1,1,0.471795952436136
Germany,Munich,229.49,313.58,90.43,65.51,9.46,49.79,266.0,21.93,68.01,6.68,2024-02-12,8668,Very Unhealthy,2024,2,February,1,1,0.6625552271618856
USA,Los Angeles,167.52,269.85,63.88,77.79,5.39,55.58,196.0,17.44,100.0,8.36,2024-02-13,1188,Unhealthy,2024,2,February,1,1,0.5557745172050892
Vietnam,Da Nang,34.34,61.2,24.76,14.95,1.65,103.85,39.0,15.24,53.01,6.01,2024-02-14,9797,Good,2024,2,February,1,0,0.235750935363395
Japan,Kyoto,97.5,143.35,35.55,46.96,5.5,85.57,135.0,33.69,42.51,2.93,2024-02-15,6573,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.40452513563394626
Vietnam,Ho Chi Minh City,136.62,206.59,93.74,42.09,9.72,51.29,186.0,44.49,100.0,5.5,2024-02-16,8123,Unhealthy,2024,2,February,1,1,0.5189297450072259
China,Shanghai,152.27,247.05,61.89,23.53,3.18,104.22,126.0,36.47,29.83,3.63,2024-02-17,1053,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.47208507469294575
Japan,Kyoto,106.53,160.69,73.7,27.55,6.11,87.94,124.0,14.37,63.89,6.77,2024-02-18,3927,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.4356574901398175
USA,New York,16.63,26.27,6.98,2.17,0.46,67.77,10.0,30.93,46.2,4.97,2024-02-19,5889,Good,2024,2,February,1,0,0.106324273369587
USA,Chicago,116.87,187.05,45.13,20.68,2.62,93.88,100.0,23.76,49.14,5.79,2024-02-20,4258,Moderate,2024,2,February,1,0,0.37841007042870395
China,Shanghai,92.32,138.67,59.56,10.68,6.27,40.05,105.0,22.4,69.28,5.78,2024-02-21,3646,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.311192985228064
USA,Chicago,150.71,197.54,60.99,37.4,7.4,88.94,150.0,15.88,92.34,9.29,2024-02-22,1009,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.5010210632095762
USA,Los Angeles,148.83,224.28,84.25,21.26,6.97,77.78,147.0,15.15,69.07,4.49,2024-02-23,9005,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.4895081777566606
Vietnam,Hanoi,87.67,111.51,65.34,29.58,5.33,42.96,83.0,27.94,94.6,6.15,2024-02-24,6947,Moderate,2024,2,February,1,0,0.3296667398910649
Japan,Tokyo,196.16,286.19,71.36,41.88,8.2,83.47,222.0,35.41,100.0,3.2,2024-02-25,1949,Very Unhealthy,2024,2,February,1,1,0.5926643723372694
China,Shenzhen,87.47,114.75,38.71,14.81,6.46,57.82,97.0,28.39,48.38,6.54,2024-02-26,2290,Moderate,2024,2,February,1,0,0.3061509731245956
Vietnam,Da Nang,108.05,192.52,79.18,46.12,3.83,47.31,133.0,32.01,45.45,6.2,2024-02-27,8962,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.41338192455155
Vietnam,Da Nang,36.53,60.7,14.38,8.38,1.66,83.58,22.0,14.98,65.96,6.52,2024-02-28,3060,Good,2024,2,February,1,0,0.18797466188872322
China,Shenzhen,151.93,196.39,60.72,47.56,3.51,28.46,128.0,21.12,57.31,8.01,2024-02-29,8787,Unhealthy for Sensitive Groups,2024,2,February,1,1,0.3990040614339774
USA,New York,161.78,267.94,96.72,46.7,7.23,41.76,174.0,32.62,60.94,6.74,2024-03-01,5342,Unhealthy,2024,3,March,1,1,0.5347213849836082
USA,Chicago,124.33,192.05,89.63,19.38,8.42,66.11,145.0,24.1,56.35,6.79,2024-03-02,7932,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.4628338960009852
China,Shenzhen,134.49,190.34,99.33,34.56,9.28,121.89,170.0,11.7,44.84,2.26,2024-03-03,4295,Unhealthy,2024,3,March,1,1,0.5874643237538381
Japan,Osaka,120.92,161.95,90.66,30.66,6.36,111.91,161.0,29.88,80.42,3.04,2024-03-04,7118,Unhealthy,2024,3,March,1,1,0.5035730539745352
Germany,Hamburg,136.92,215.25,77.6,62.65,9.22,59.62,154.0,24.33,48.0,7.66,2024-03-05,8397,Unhealthy,2024,3,March,1,1,0.547052488455045
Vietnam,Hanoi,123.58,204.83,91.25,29.27,8.56,58.06,165.0,25.84,45.42,5.11,2024-03-06,4681,Unhealthy,2024,3,March,1,1,0.4790545921245468
Vietnam,Ho Chi Minh City,157.85,257.61,97.96,59.6,8.3,46.95,217.0,21.81,40.11,2.44,2024-03-07,1344,Very Unhealthy,2024,3,March,1,1,0.5707497679035004
USA,Chicago,152.72,197.31,90.58,46.18,8.66,68.61,172.0,28.88,79.52,6.96,2024-03-08,4770,Unhealthy,2024,3,March,1,1,0.5394832179085643
USA,New York,80.48,124.4,48.56,21.7,5.17,81.79,112.0,20.08,62.48,6.11,2024-03-09,1117,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.34509635089594387
Vietnam,Da Nang,35.38,43.61,16.54,14.9,0.72,108.24,27.0,19.9,31.9,7.65,2024-03-10,1964,Good,2024,3,March,1,0,0.21447105466850233
China,Beijing,55.5,91.16,29.2,10.54,2.62,37.62,66.0,26.03,59.55,0.61,2024-03-11,1514,Moderate,2024,3,March,1,0,0.18719004464378164
Japan,Tokyo,108.45,167.92,66.82,11.41,6.49,87.41,118.0,25.85,42.87,11.15,2024-03-12,9423,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.40695548545272703
China,Shanghai,120.7,160.04,90.4,21.97,3.79,69.4,125.0,27.74,54.13,4.57,2024-03-13,8953,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.40384393078385633
China,Shenzhen,107.25,162.45,55.81,27.92,5.75,107.6,117.0,25.26,57.57,3.18,2024-03-14,3167,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.43852522052562554
USA,Chicago,64.47,78.35,24.38,24.91,3.84,113.81,78.0,33.77,42.42,4.95,2024-03-15,8744,Moderate,2024,3,March,1,0,0.31834079601480797
China,Shanghai,58.89,74.19,24.83,22.9,4.2,87.82,79.0,25.11,88.19,3.84,2024-03-16,7669,Moderate,2024,3,March,1,0,0.28071788204783393
China,Beijing,149.66,180.75,51.29,27.41,3.23,62.26,124.0,30.61,39.98,7.85,2024-03-17,2588,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.38333097745882444
Germany,Munich,93.86,127.25,45.98,31.55,3.39,96.23,128.0,17.76,100.0,1.84,2024-03-18,7939,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.36854398794660387
Germany,Munich,130.55,216.47,48.31,58.41,6.43,70.36,150.0,28.91,68.01,5.27,2024-03-19,1887,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.48530297793939897
Vietnam,Hanoi,135.39,213.93,58.07,21.09,9.49,27.25,152.0,28.15,71.95,4.92,2024-03-20,7596,Unhealthy,2024,3,March,1,1,0.4106371560822224
Japan,Tokyo,129.79,177.09,74.9,46.8,9.06,45.54,162.0,30.05,84.65,9.33,2024-03-21,5073,Unhealthy,2024,3,March,1,1,0.473999419520207
China,Beijing,27.96,42.25,9.04,4.66,1.8,38.01,10.0,29.49,49.89,4.78,2024-03-22,9786,Good,2024,3,March,1,0,0.10514318990440841
Germany,Berlin,73.84,120.46,33.12,24.11,3.59,36.21,92.0,31.95,68.7,4.28,2024-03-23,7912,Moderate,2024,3,March,1,0,0.25050030492074077
China,Shanghai,91.22,136.63,54.59,21.32,6.04,73.05,138.0,27.72,100.0,4.75,2024-03-24,8579,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.3624653180425003
China,Beijing,155.39,261.0,100.59,32.45,8.61,55.94,197.0,22.18,60.05,5.85,2024-03-25,8260,Unhealthy,2024,3,March,1,1,0.5394172273991364
USA,New York,128.89,222.17,85.85,54.47,7.67,36.62,135.0,34.67,74.18,5.86,2024-03-26,1828,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.4926305282977886
USA,New York,141.48,185.11,82.62,65.96,3.12,75.19,146.0,19.35,86.06,5.92,2024-03-27,2528,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.49947738746298526
China,Beijing,121.42,168.95,86.75,13.94,6.77,70.74,129.0,24.52,58.82,6.44,2024-03-28,7658,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.4248972157282615
Germany,Munich,182.79,226.51,83.65,57.72,12.33,47.63,221.0,36.25,35.29,6.53,2024-03-29,4502,Very Unhealthy,2024,3,March,1,1,0.6003485772791805
Germany,Berlin,124.11,218.87,86.8,61.95,5.09,96.64,134.0,23.86,93.19,10.6,2024-03-30,3697,Unhealthy for Sensitive Groups,2024,3,March,1,1,0.5496397742365868
Germany,Berlin,97.72,141.98,65.36,19.11,2.6,106.33,91.0,17.24,46.63,3.99,2024-03-31,7396,Moderate,2024,3,March,1,0,0.3807818597760377
Japan,Osaka,118.27,169.19,75.67,22.15,9.11,75.86,157.0,35.87,60.72,5.9,2024-04-01,5673,Unhealthy,2024,4,April,2,1,0.4581297242710411
Germany,Hamburg,63.86,114.62,26.56,30.47,3.77,79.56,70.0,30.31,100.0,4.72,2024-04-02,8973,Moderate,2024,4,April,2,0,0.3023614447730279
China,Beijing,88.84,148.17,42.21,10.94,6.94,56.11,121.0,39.36,53.59,4.34,2024-04-03,5861,Unhealthy for Sensitive Groups,2024,4,April,2,1,0.3221062364399574
China,Beijing,92.39,123.27,52.52,31.15,5.06,85.82,105.0,23.1,57.25,6.57,2024-04-04,9883,Unhealthy for Sensitive Groups,2024,4,April,2,1,0.37791263102059497
Vietnam,Da Nang,152.93,191.49,77.11,38.09,5.44,120.26,160.0,27.73,100.0,4.96,2024-04-05,6138,Unhealthy,2024,4,April,2,1,0.5367263237796739
Vietnam,Hanoi,119.18,177.38,71.05,51.23,4.87,99.71,124.0,33.46,100.0,7.17,2024-04-06,8811,Unhealthy for Sensitive Groups,2024,4,April,2,1,0.49235200658503286
USA,Chicago,149.53,255.75,109.7,57.32,10.5,97.72,203.0,36.53,88.39,8.76,2024-04-07,3579,Very Unhealthy,2024,4,April,2,1,0.6623973940842942
Vietnam,Da Nang,111.64,156.42,75.0,18.34,7.71,73.67,133.0,28.23,90.57,6.38,2024-04-08,2312,Unhealthy for Sensitive Groups,2024,4,April,2,1,0.4218759049108833
China,Beijing,52.01,82.19,29.64,21.42,1.37,88.66,55.0,30.0,96.55,5.81,2024-04-09,2113,Moderate,2024,4,April,2,0,0.2516549564686212
China,Shanghai,150.39,189.72,115.6,56.42,3.62,74.67,137.0,36.59,44.47,6.27,2024-04-10,2964,Unhealthy for Sensitive Groups,2024,4,April,2,1,0.5320066022717117
USA,New York,179.75,220.64,132.26,87.97,14.04,31.92,216.0,23.53,72.54,9.13,2024-04-11,1651,Very Unhealthy,2024,4,April,2,1,0.7037904412389931
USA,New York,92.24,125.83,73.66,24.95,4.34,117.03,118.0,31.52,54.96,3.96,2024-04-12,7868,Unhealthy for Sensitive Groups,2024,4,April,2,1,0.4228159993235674
USA,Chicago,132.19,210.54,57.72,63.5,3.84,55.9,113.0,33.2,63.02,9.69,2024-04-13,9565,Unhealthy for Sensitive Groups,2024,4,April,2,1,0.4560201641716006
Japan,Osaka,43.72,78.28,22.07,20.01,1.48,52.7,60.0,17.99,93.88,5.84,2024-04-14,4346,Moderate,2024,4,April,2,0,0.18902250274540897
Japan,Tokyo,137.14,228.0,99.07,55.46,7.9,81.42,193.0,29.57,79.18,5.82,2024-04-15,5351,Unhealthy,2024,4,April,2,1,0.5766594304730209
Germany,Berlin,86.18,113.79,47.04,10.83,4.73,115.02,68.0,34.73,51.95,5.11,2024-04-16,5915,Moderate,2024,4,April,2,0,0.36005265528999325
Germany,Munich,97.38,151.92,43.42,36.81,6.97,9.4,97.0,20.26,64.05,5.99,2024-04-17,2188,Moderate,2024,4,April,2,0,0.3186606487155625
Vietnam,Ho Chi Minh City,195.17,299.74,59.5,45.0,9.97,91.93,219.0,26.02,51.36,4.0,2024-04-18,2638,Very Unhealthy,2024,4,April,2,1,0.6210520075538262
Vietnam,Da Nang,209.88,352.68,83.97,35.05,5.51,86.02,209.0,39.19,83.49,6.12,2024-04-19,4492,Very Unhealthy,2024,4,April,2,1,0.6062461365385438
USA,Los Angeles,154.91,252.27,108.57,36.52,10.67,79.84,180.0,38.54,68.95,10.15,2024-04-20,3170,Unhealthy,2024,4,April,2,1,0.604882562947482
Japan,Tokyo,206.8,258.29,68.28,41.12,6.12,74.95,184.0,25.44,73.48,7.05,2024-04-21,5002,Unhealthy,2024,4,April,2,1,0.5483827291898623
Japan,Osaka,118.78,182.12,78.35,22.73,9.48,123.56,138.0,28.3,67.4,7.23,2024-04-22,3584,Unhealthy for Sensitive Groups,2024,4,April,2,1,0.5328986867814741
Germany,Hamburg,107.13,184.37,71.09,42.54,4.88,28.29,137.0,18.19,35.71,6.45,2024-04-23,5956,Unhealthy for Sensitive Groups,2024,4,April,2,1,0.3813280674162422
USA,Chicago,204.2,304.66,150.43,93.33125000000001,9.25,58.53,251.0,33.22,33.47,8.95,2024-04-24,9666,Very Unhealthy,2024,4,April,2,1,0.767495540350925
Vietnam,Da Nang,88.72,144.57,66.94,15.25,3.04,79.9,88.0,27.8,88.45,7.09,2024-04-25,5905,Moderate,2024,4,April,2,0,0.342139975519616
Vietnam,Hanoi,158.58,224.48,94.59,26.23,6.89,5.0,173.0,17.64,88.22,5.06,2024-04-26,5333,Unhealthy,2024,4,April,2,1,0.4234577352735462
Vietnam,Hanoi,117.65,157.85,39.62,19.75,6.02,81.93,123.0,35.97,55.12,2.89,2024-04-27,3546,Unhealthy for Sensitive Groups,2024,4,April,2,1,0.38112397368408685
Japan,Osaka,195.04,253.59,74.86,22.36,12.52,91.26,226.0,25.43,100.0,6.76,2024-04-28,4450,Very Unhealthy,2024,4,April,2,1,0.6044381640009766
Japan,Tokyo,171.51,227.0,61.05,35.66,4.02,75.97,155.0,33.82,66.04,7.47,2024-04-29,5325,Unhealthy,2024,4,April,2,1,0.4706033801699728
USA,Los Angeles,123.93,151.81,46.37,61.3,9.66,20.04,95.0,35.33,71.93,8.0,2024-04-30,5114,Moderate,2024,4,April,2,0,0.42757779566279047
Vietnam,Hanoi,224.42,288.11,70.69,50.08,13.98,66.51,281.0,32.9,43.93,4.75,2024-05-01,7939,Very Unhealthy,2024,5,May,2,1,0.6698995847176055
Japan,Tokyo,110.47,178.47,79.43,52.79,6.74,75.44,152.0,45.0,63.85,6.4,2024-05-02,1058,Unhealthy,2024,5,May,2,1,0.4893988074255593
Japan,Tokyo,175.28,233.01,110.33,45.14,10.35,99.68,209.0,30.42,49.91,5.87,2024-05-03,5291,Very Unhealthy,2024,5,May,2,1,0.6490133559165215
China,Shenzhen,136.07,209.57,91.06,61.42,6.02,80.55,164.0,37.52,40.45,7.19,2024-05-04,8239,Unhealthy,2024,5,May,2,1,0.5473384819277832
USA,Chicago,105.12,177.73,37.85,33.41,2.14,104.39,87.0,19.23,36.2,9.19,2024-05-05,8007,Moderate,2024,5,May,2,0,0.38918505341621107
USA,New York,70.43,94.55,34.27,13.45,1.72,16.17,95.0,41.14,85.2,4.62,2024-05-06,2832,Moderate,2024,5,May,2,0,0.17230068259870898
Vietnam,Da Nang,169.09,255.57,91.24,18.64,6.84,61.88,214.0,16.88,32.09,8.05,2024-05-07,3442,Very Unhealthy,2024,5,May,2,1,0.4984665180152697
USA,New York,189.21,319.35,124.7,91.24,3.99,84.1,203.0,34.07,70.62,6.21,2024-05-08,7049,Very Unhealthy,2024,5,May,2,1,0.7048923036927843
USA,Chicago,82.3,122.75,35.26,17.61,3.16,62.98,55.0,29.44,92.84,7.84,2024-05-09,3426,Moderate,2024,5,May,2,0,0.276946821721826
Germany,Berlin,70.52,102.12,25.45,12.16,4.29,93.52,85.0,28.84,38.32,4.8,2024-05-10,1685,Moderate,2024,5,May,2,0,0.29049577106737784
Japan,Osaka,40.35,71.73,21.86,17.04,2.14,81.01,52.0,29.0,56.41,6.24,2024-05-11,1653,Moderate,2024,5,May,2,0,0.22155389455316907
Japan,Tokyo,122.44,163.69,49.71,33.230000000000004,5.47,71.01,143.0,18.05,51.14,4.56,2024-05-12,5088,Unhealthy for Sensitive Groups,2024,5,May,2,1,0.40249686628262366
Vietnam,Ho Chi Minh City,105.25,168.46,36.6,36.79,4.96,101.19,121.0,18.5,71.2,7.27,2024-05-13,7658,Unhealthy for Sensitive Groups,2024,5,May,2,1,0.41745848493559085
USA,Chicago,110.74,134.45,68.77,37.96,5.85,66.75,157.0,23.54,37.6,5.82,2024-05-14,3532,Unhealthy,2024,5,May,2,1,0.4102875650137485
China,Beijing,79.82,116.29,52.58,30.09,6.34,110.98,101.0,32.55,97.57,5.24,2024-05-15,3900,Unhealthy for Sensitive Groups,2024,5,May,2,1,0.41081183793539555
Germany,Berlin,90.92,121.46,43.41,32.87,4.65,44.63,104.0,29.87,33.88,6.66,2024-05-16,3938,Unhealthy for Sensitive Groups,2024,5,May,2,1,0.31224428967514306
Japan,Osaka,20.31,28.43,12.89,10.11,1.21,79.35,20.0,41.38,73.38,4.59,2024-05-17,5065,Good,2024,5,May,2,0,0.15377633780764702
Japan,Tokyo,147.92,193.06,95.41,26.68,7.71,71.9,184.0,27.11,46.92,4.53,2024-05-18,2771,Unhealthy,2024,5,May,2,1,0.4980644080959371
Germany,Berlin,174.57,306.59,72.85,45.34,5.09,85.23,185.0,37.7,67.83,10.64,2024-05-19,8711,Unhealthy,2024,5,May,2,1,0.5625198400389917
China,Beijing,129.6,165.45,92.41,53.5,8.1,62.27,165.0,21.71,38.38,2.33,2024-05-20,8541,Unhealthy,2024,5,May,2,1,0.5107310737094036
Japan,Osaka,64.83,101.16,36.17,30.33,3.23,16.18,59.0,28.65,63.02,7.84,2024-05-21,4728,Moderate,2024,5,May,2,0,0.2210574026874105
China,Beijing,133.37,223.26,60.33,17.65,5.89,78.04,148.0,32.29,47.03,6.06,2024-05-22,4164,Unhealthy for Sensitive Groups,2024,5,May,2,1,0.4337173537464982
Germany,Munich,174.29,223.01,127.41,81.76,8.58,81.87,176.0,39.12,76.16,6.02,2024-05-23,5564,Unhealthy,2024,5,May,2,1,0.6865843063922199
Vietnam,Ho Chi Minh City,66.74,94.81,22.3,7.36,1.88,62.37,66.0,28.45,75.59,5.86,2024-05-24,6753,Moderate,2024,5,May,2,0,0.20597432416688646
USA,Los Angeles,123.22,180.36,43.48,43.91,4.06,20.61,143.0,40.25,89.38,5.57,2024-05-25,9785,Unhealthy for Sensitive Groups,2024,5,May,2,1,0.3430519200896614
Japan,Tokyo,127.43,228.13,53.47,19.99,3.48,61.57,137.0,23.09,58.95,5.22,2024-05-26,2889,Unhealthy for Sensitive Groups,2024,5,May,2,1,0.38054237006888214
Japan,Tokyo,128.03,216.16,77.79,28.49,7.35,70.08,157.0,7.57,83.69,3.27,2024-05-27,5349,Unhealthy,2024,5,May,2,1,0.4723180475295327
Vietnam,Hanoi,61.49,104.33,41.0,33.144999999999996,1.27,24.95,66.0,23.39,13.18,4.91,2024-05-28,8119,Moderate,2024,5,May,2,0,0.21980960156584803
Japan,Kyoto,46.05,55.6,19.37,22.58,3.14,74.58,33.0,27.88,76.59,6.24,2024-05-29,6139,Good,2024,5,May,2,0,0.2284804912505692
Germany,Hamburg,179.83,226.38,97.85,28.78,7.1,66.04,163.0,26.62,99.23,3.26,2024-05-30,9379,Unhealthy,2024,5,May,2,1,0.5265107139006684
Vietnam,Ho Chi Minh City,193.56,335.87,150.52,80.28,7.53,64.77,220.0,23.16,100.0,7.36,2024-05-31,4114,Very Unhealthy,2024,5,May,2,1,0.7394237588782812
Japan,Tokyo,227.87,363.58,151.46875,80.82,12.95,54.86,270.0,28.26,49.93,6.92,2024-06-01,8144,Very Unhealthy,2024,6,June,2,1,0.8250790334861149
Vietnam,Da Nang,220.67,270.32,75.56,85.3,5.37,73.41,190.0,17.22,45.57,8.4,2024-06-02,9821,Unhealthy,2024,6,June,2,1,0.6405220264789475
